name	version	archive_sha256	unpacked_source
autocfg	1.5.1	f2032f911046de80f0a198e0901378627c33f59ea0ac00e363d481118bd70a53	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/autocfg-1.5.1
block-buffer	0.10.4	3078c7629b62d3f0439517fa394996acacc5cbc91c5a20d8c658e77abd503a71	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/block-buffer-0.10.4
cfg-if	1.0.4	9330f8b2ff13f34540b44e946ef35111825727b38d33286ef986142615121801	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/cfg-if-1.0.4
cpufeatures	0.2.17	59ed5838eebb26a2bb2e58f6d5b5316989ae9d08bab10e0e6d103e656d1b0280	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/cpufeatures-0.2.17
crypto-common	0.1.7	78c8292055d1c1df0cce5d180393dc8cce0abec0a7102adb6c7b1eef6016d60a	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/crypto-common-0.1.7
digest	0.10.7	9ed9a281f7bc9b7576e61468ba615a66a5c8cfdff42420a70aa82701a3b1e292	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/digest-0.10.7
five8	1.0.0	23f76610e969fa1784327ded240f1e28a3fd9520c9cec93b636fcf62dd37f772	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/five8-1.0.0
five8_const	1.0.0	1a0f1728185f277989ca573a402716ae0beaaea3f76a8ff87ef9dd8fb19436c5	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/five8_const-1.0.0
five8_core	1.0.0	059c31d7d36c43fe39d89e55711858b4da8be7eb6dabac23c7289b1a19489406	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/five8_core-1.0.0
generic-array	0.14.7	85649ca51fd72272d7821adaf274ad91c288277713d9c18820d8499a7ff69e9a	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/generic-array-0.14.7
libc	0.2.189	3eaf3ede3fee6db1a4c2ee091bf8a8b4dccdc6d17f656fb07896ee72867612f2	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/libc-0.2.189
num-traits	0.2.19	071dfc062690e90b734c0b2273ce72ad0ffa95f0c74596bc250dcfd960262841	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/num-traits-0.2.19
sha2	0.10.9	a7507d819769d01a365ab707794a4084392c824f54a7a6a7862f8c3d0892b283	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/sha2-0.10.9
solana-account-info	3.1.1	a9cf16495d9eb53e3d04e72366a33bb1c20c24e78c171d8b8f5978357b63ae95	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-account-info-3.1.1
solana-address	2.6.1	39c93e262f671bf402e1040e4a7e40b05d81da5956c7681948c975a0997517bb	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-address-2.6.1
solana-cpi	3.1.0	4dea26709d867aada85d0d3617db0944215c8bb28d3745b912de7db13a23280c	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-cpi-3.1.0
solana-define-syscall	4.0.1	57e5b1c0bc1d4a4d10c88a4100499d954c09d3fecfae4912c1a074dff68b1738	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-define-syscall-4.0.1
solana-hash	4.5.0	6f4c847893a2ea50b4ae3ca723b124e07cd0544fecea3598f785168f9b78333f	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-hash-4.5.0
solana-instruction	3.4.1	a3957ca1d31107efd9a6bb88b25c348ca5e3b4b6683e3d08adb86d3d17aa01f1	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-instruction-3.4.1
solana-instruction-error	2.4.0	3b7d34343838343a3755b7dfb1e438d94c6db2263b519cfe3c2257af932b6e93	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-instruction-error-2.4.0
solana-program-entrypoint	3.1.1	84c9b0a1ff494e05f503a08b3d51150b73aa639544631e510279d6375f290997	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-program-entrypoint-3.1.1
solana-program-error	3.0.1	4f04fa578707b3612b095f0c8e19b66a1233f7c42ca8082fcb3b745afcc0add6	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-program-error-3.0.1
solana-program-memory	3.1.0	4068648649653c2c50546e9a7fb761791b5ab0cda054c771bb5808d3a4b9eb52	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-program-memory-3.1.0
solana-pubkey	4.2.0	7db719574990de7e8b0f55a8593ac92a5ccb42c8ce67b3e4bf05b139d5d9ee71	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-pubkey-4.2.0
solana-sanitize	3.0.1	dcf09694a0fc14e5ffb18f9b7b7c0f15ecb6eac5b5610bf76a1853459d19daf9	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-sanitize-3.0.1
solana-sdk-ids	3.1.0	def234c1956ff616d46c9dd953f251fa7096ddbaa6d52b165218de97882b7280	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-sdk-ids-3.1.0
solana-sha256-hasher	3.1.0	db7dc3011ea4c0334aaaa7e7128cb390ecf546b28d412e9bf2064680f57f588f	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-sha256-hasher-3.1.0
solana-stable-layout	3.0.1	c9f6a291ba063a37780af29e7db14bdd3dc447584d8ba5b3fc4b88e2bbc982fa	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-stable-layout-3.0.1
typenum	1.20.1	b6f5e870be6c3b371b77fe0ee0bafb859fa4964b4404c27de1d380043c4dda20	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/typenum-1.20.1
version_check	0.9.5	0b928f33d975fc6ad9f86c8f283853ad26bdd5b10b7f1542aa2fa15e2289105a	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/version_check-0.9.5
